,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2006-03-28,412.5,417.5,400.0,412.5,303.5380554199219,143410000,BBCA.JK,294.7367,307.21728515625,0.0,-3.679229736328125
2006-04-12,425.0,437.5,422.5,425.0,312.7361145019531,365920000,BBCA.JK,308.71313,318.2550048828125,0.0,-5.518890380859375
2006-04-26,457.5,465.0,452.5,457.5,336.6512451171875,331670000,BBCA.JK,335.7926,331.1323547363281,0.0,5.518890380859375
2006-05-02,440.0,452.5,437.5,440.0,323.7738342285156,238080000,BBCA.JK,326.828,325.6134948730469,1.83966064453125,0.0
2006-05-03,442.5,445.0,435.0,442.5,325.6134948730469,177260000,BBCA.JK,327.9628,318.2550048828125,-7.358489990234375,0.0
2006-05-04,432.5,445.0,427.5,432.5,318.2550048828125,331710000,BBCA.JK,318.3346,320.09454345703125,1.83953857421875,0.0
2006-05-15,427.5,440.0,425.0,427.5,314.5757141113281,320970000,BBCA.JK,307.3408,316.41534423828125,0.0,-1.839630126953125
2006-05-22,402.5,412.5,400.0,402.5,296.1794738769531,308900000,BBCA.JK,292.73257,299.8587646484375,0.0,-3.679290771484375
2006-05-31,410.0,410.0,400.0,410.0,301.6983947753906,173050000,BBCA.JK,289.09256,298.0191345214844,0.0,3.67926025390625
2006-06-08,387.5,397.5,382.5,387.5,291.5414123535156,491020000,BBCA.JK,277.79904,299.0650634765625,0.0,-7.523651123046875
2006-06-12,390.0,397.5,387.5,390.0,293.42230224609375,291020000,BBCA.JK,284.4673,287.7795715332031,0.0,5.642730712890625
2006-06-19,410.0,417.5,405.0,410.0,308.4697265625,75680000,BBCA.JK,297.04633,306.5887145996094,0.0,1.881011962890625
2006-06-20,407.5,410.0,402.5,407.5,306.5887145996094,70600000,BBCA.JK,288.77234,304.7077941894531,0.0,1.88092041015625
2006-06-21,405.0,410.0,405.0,405.0,304.7077941894531,39830000,BBCA.JK,294.14832,308.4697265625,0.0,-3.761932373046875
2006-06-23,407.5,410.0,405.0,407.5,306.5887145996094,31540000,BBCA.JK,295.24258,300.94610595703125,0.0,5.642608642578125
2006-06-27,402.5,407.5,400.0,402.5,302.82684326171875,40530000,BBCA.JK,294.28116,297.1841735839844,0.0,5.642669677734375
